playlist_id,playlist_name,listener_id,track_id,position,added_at
PL001,Morning Commute,L001,T001,1,2024-01-10 07:00:00
PL001,Morning Commute,L001,T005,2,2024-01-10 07:01:00
PL001,Morning Commute,L001,T006,3,2024-01-10 07:02:00
PL002,Jazz Evening,L003,T003,1,2024-01-11 18:00:00
PL002,Jazz Evening,L003,T004,2,2024-01-11 18:01:00
PL003,Workout Mix,L005,T015,1,2024-01-12 06:00:00
PL003,Workout Mix,L005,T016,2,2024-01-12 06:01:00
PL003,Workout Mix,L005,T009,3,2024-01-12 06:02:00
PL004,Focus Mode,L007,T019,1,2024-01-13 09:00:00
PL004,Focus Mode,L007,T020,2,2024-01-13 09:01:00
PL004,Focus Mode,L007,T021,3,2024-01-13 09:02:00
PL005,Road Trip,L010,T009,1,2024-01-14 08:00:00
PL005,Road Trip,L010,T010,2,2024-01-14 08:01:00
PL005,Road Trip,L010,T001,3,2024-01-14 08:02:00
PL005,Road Trip,L010,T005,4,2024-01-14 08:03:00
